"listing_id";"listing_name";"brand";"listing_description";"condition";"size";"listing_url";"colour";"favorite";"views";"location";"price";"price_tax";"total_price";"payment_option";"upload_time";"processed_at";"username";"rating";"reviewsCount";"followers";"following";"lastSeen";"wardrobeQuantity";"category_id"
"6111970710";"Nike pak CR7 maat L 152 zwart roze";"";"In goede staat";"Very good";"12 years / 152 cm";"https://www.vinted.nl/items/6111970710-nike-pak-cr7-maat-l-152-zwart-roze";"Black, Pink";"1";"39";"Heerhugowaard, Nederland";"15";"1.45";"16.45";"";"2 days ago";"2025-04-10T21:28:28.765Z";"m_d_c_1977";"4.9";"105";"3";"1";"";"46";"1253"
"6002575696";"Japanese Crop-Top";"";"Van de BERSHKA, maat S. Valt  strak en kort. 
In goede staat.";"Good";"S / 36 / 8";"https://www.vinted.nl/items/6002575696-japanese-crop-top";"White, Red";"0";"9";"Nederland";"4";"0.9";"4.9";"";"3 weeks ago";"2025-04-10T20:07:11.490Z";"amberv.dpoel";"4.2";"5";"0";"1";"";"12";"221"
"6112791741";"Zwart wit jurk";"";"Gedragen";"Satisfactory";"L / 40 / 12";"https://www.vinted.nl/items/6112791741-zwart-wit-jurk";"Black, White";"0";"1";"Berg en Terblijt, Nederland";"2";"0.8";"2.8";"";"2 days ago";"2025-04-11T08:42:45.915Z";"jamiekoch";"0";"0";"0";"1";"";"29";"1056"
"6069696718";"Zomersetje name it marine  68";"";"Ziet er nog super netjes uit 

#zomer #summer #mooiweer #nameit

#jenniferdejong94maat68... more";"Very good";"6-9 months / 68 cm";"https://www.vinted.nl/items/6069696718-zomersetje-name-it-marine-68";"Red, Blue";"0";"43";"Drachten, Nederland";"5.49";"0.97";"6.46";"";"a week ago";"2025-04-10T21:04:17.937Z";"jenniferdejong94";"5";"347";"60";"111";"";"223";"1645"
"5998487554";"";"";"";"";"";"https://www.vinted.nl/items/5998487554-zwembroek-hema";"";"0";"0";"Schagerbrug, Nederland";"0";"0.88";"4.38";"";"";"2025-04-10T20:13:57.585Z";"love.is.love";"4.9";"47";"1";"0";"";"61";"1750"
"5644543526";"Wereldreiziger (handboek)";"";"Deze boek is vol op handigen tips rond jouw reizen rond het wereld";"Very good";"";"https://www.vinted.nl/items/5644543526-wereldreiziger-handboek";"";"0";"6";"Rotterdam, Nederland";"1.25";"0.76";"2.01";"";"2 months ago";"2025-04-10T23:12:08.778Z";"dduszka";"5";"104";"4";"0";"";"107";"2361"
"6113010744";"Flawless Liquid Foundation";"";"Silky Beige N4, nieuw niet gebruikt.";"New with tags";"";"https://www.vinted.nl/items/6113010744-flawless-liquid-foundation";"";"0";"1";"Rotterdam, Nederland";"4";"0.9";"4.9";"";"2 days ago";"2025-04-11T07:53:16.605Z";"madrettor80";"4.9";"519";"28";"19";"";"179";"964"
"5971424870";"Airforce shirt 104 nieuw";"";"Kleur Roze";"New with tags";"4 years / 104 cm";"https://www.vinted.nl/items/5971424870-airforce-shirt-104-nieuw";"Rose";"0";"2";"Nederland";"5";"0.95";"5.95";"";"3 weeks ago";"2025-04-11T08:55:47.537Z";"che3101";"4.9";"352";"19";"1";"";"556";"1535"
"6091069499";"Rokje";"";"Leuk stippen broekje lijkt een rokje";"Very good";"S / 36 / 8";"https://www.vinted.nl/items/6091069499-rokje";"Black";"0";"0";"Tubbergen, Nederland";"2.5";"0.83";"3.33";"";"4 days ago";"2025-04-09T18:17:57.515Z";"daffifumi";"5";"24";"1";"6";"";"9";"205"
"5690553429";"Strand tas";"";"Helemaal nieuw";"New without tags";"";"https://www.vinted.nl/items/5690553429-strand-tas";"Beige, Cream";"1";"10";"Heiloo, Nederland";"7.5";"1.08";"8.58";"";"2 months ago";"2025-04-11T07:49:49.302Z";"debbieharkmans";"4.9";"25";"15";"5";"";"83";"2940"
"5924412038";"";"";"";"";"";"https://www.vinted.nl/items/5924412038-isabel-marant-shirt";"";"0";"0";"Nederland";"0";"1.95";"26.95";"";"";"2025-04-10T22:49:33.692Z";"xyenx";"4.7";"44";"275";"126";"";"239";"221"
"5279472918";"Broek Zeeman";"";"In super nette staat
Maat 46";"Very good";"XXXL / 46 / 18";"https://www.vinted.nl/items/5279472918-broek-zeeman";"Black";"0";"23";"";"1.99";"0.8";"2.79";"";"5 months ago";"2025-04-10T22:27:59.997Z";"";"";"";"";"";"";"";"189"
"5938055052";"Didi jurk M";"";"Weinig gedragen jurk maat M, gevoerd met vleermuismouw en open schouder.
Jurk valt ongeveer op de knie.";"Very good";"M / 38 / 10";"https://www.vinted.nl/items/5938055052-didi-jurk-m";"Black";"0";"20";"Nederland";"3";"0";"";"";"4 weeks ago";"2025-04-08T21:37:09.127Z";"vampiertje234";"5";"30";"2";"0";"";"32";"1056"
"5286332105";"Sport trui";"";"Als nieuw";"Very good";"14 years / 164 cm";"https://www.vinted.nl/items/5286332105-sport-trui";"Blue";"0";"2";"Nederland";"5";"0.95";"5.95";"";"5 months ago";"2025-04-10T21:28:05.167Z";"mosie1708";"4.9";"143";"2";"0";"";"44";"1204"
"4602256097";"Blouse H&M   M";"";"Kleur Wit";"Very good";"M / 38 / 10";"https://www.vinted.nl/items/4602256097-blouse-hm-m";"White";"0";"17";"Nederland";"4.5";"0.93";"5.43";"";"10 months ago";"2025-04-11T08:55:12.371Z";"che3101";"4.9";"352";"19";"1";"";"556";"1043"
"5597517100";"";"";"";"";"";"https://www.vinted.nl/items/5597517100-blousje-primark";"";"0";"0";"Nederland";"0";"0.9";"4.9";"";"";"2025-04-10T21:28:00.965Z";"lndj2";"4.9";"51";"2";"0";"";"32";"1538"
"5857601213";"Zara jeans lange broek 74";"";"Ziet er nog super mooi uit. Ik verkoop meer kleding in maat 74 zowel truien longsleeve als broeken.

#zara #langebroek #jeans #denim #broek 
#unisex #stoer
#jenniferdejong94maat74... more";"Very good";"9-12 months / 74 cm";"https://www.vinted.nl/items/5857601213-zara-jeans-lange-broek-74";"Black";"3";"53";"Drachten, Nederland";"3.99";"0.9";"4.89";"";"6 weeks ago";"2025-04-10T21:16:05.844Z";"jenniferdejong94";"5";"347";"60";"111";"";"223";"1697"
